Version ID	Master ID	Skeletal code	Publication	Method for Determining Date (including any warnings)	Date mean in BP [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform disribution between the two bounds for a contextual date]	Full Date: One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE	Group ID	Locality	Country	Lat.	Long.	Data type	No. Libraries	Coverage on autosomal targets	SNPs hit on autosomal targets	Sex	Family ID and position within family	Y haplogroup in terminal mutation notation (automatically called)	Y haplogroup  in ISOGG v15.73 notation (automatically called)	mt haplogroup	Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)	LibraryID(s)	ASSESSMENT	"ASSESSMENT REASONING (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0.98: 0.9-0.95 is ""QUESTIONABLE""; <0.9 is ""QUESTIONABLE_CRITICAL"", questionable status gets overriden by ANGSD with PASS if upper bound of contamination is <0.01 and QUESTIONABLE if upper bound is 0.01-0.05) (damage for ds.half is ""QUESTIONABLE_CRITICAL/FAIL"" if <0.01, and recorded but passed if 0.01-0.03; libraries with untreated last base are ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if <0.01, ""QUESTIONABLE"" if 0.01-0.03, and recorded but passed if 0.03-0.1) (sexratio is QUESTIONABLE if [0.03,0.10] or [0.30,0.35); QUESTIONABLE_CRITICAL/FAIL if (0.10,0.30))"	SNP >=30000	Not questionable	 Not 1d relative of another high coverage sample	1240k data	UDG treated or modern or expected low damage due to diploid consensus calling	Coarse Subregion	Fine Subregion	Period	P-value for qpAdm (2-way model) (Balkan_N new)	EEF (2-way model)	EEF err. (2-way model)	P-value for qpAdm (3-way model)	WHG (3-way model)	EEF (3-way model)	Steppe (3-way model)	WHG err. (3-way model)	EEF err. (3-way model)	Steppe err. (3-way model)	Z-score for non-zero Steppe ancestry	Maximum P-value for 2-way and 3-way qpAdm	Filter 0: >=30000 SNPs, PASS assessment, relevant period, not a first degree relative of higher coverage individuals)	Filter 1: Filter 0 plus p>0.01 qpAdm 3-way or qpAdm 2-way	Filter 1 alternative: Version of Filter 1 but with subregional classifications in the Iron Age	"Filter 2: Filter 1 +  significant outliers by qpWave from other individuals of the comparison group that are not labeled as ""Ignore"" or  outlier; for ""Neolithic"" we also reject if Z>2.58 for steppe ancestry. We label all individuals where non-Ignore individuals are P<0.05 or less after the first is significant at P<0.005 as extreme outliers"	Filter 2 comparison group	P-values from main comparison group (from 1240k data when a 1240k sample, from all samples when a .SG sample)
AITI_98	AITI_98	AITI_98	MittnikScience2019	Direct: IntCal20	3605	47	1742-1544 calBCE (3370±27 BP, MAMS-21592)	Germany_Lech_EBA	Kleinaitingen - Gewerbegebiet Nord	Germany	48.22281	10.84499	1240K.and.Shotgun	2	0.353498	331695	M	n/a (no relatives detected)	R-BY34110	R1b1a1b1a1a2b1	H49	ss.half,ss.half	KLE043.A0101,KLE043.A0101.SG	PASS	..	1	1	1	1	1	CzechRepublic.Slovakia.Germany	Germany	C.EBA	0	0.739	0.014	0.397178	0.128	0.534	0.339	0.016	0.019	0.023	14.7	0.397178	Use	CzechRepublic.Slovakia.Germany_3800.to.2700BP	Germany_3800.to.2700BP	CzechRepublic.Slovakia.Germany_3800.to.2700BP_highEEF	CzechRepublic.Slovakia.Germany_3800.to.2700BP	0.000021
OTTM_151ind1_d	OTTM_151ind1	OTTM_151ind1	MittnikScience2019	Direct: IntCal20	3602	60	1746-1536 calBCE (3370±38 BP, MAMS-21555)	Germany_Lech_MBA	Oberottmarshausen - Kiesgrube Lauter	Germany	48.22519	10.84977	1240K.and.Shotgun	2	0.023164	42156	F	n/a (no relatives detected)	n/a (female)	n/a (female)	H13a1a1	half	OOH019.A0101, OOH019.A0102	PASS	..	1	1	1	1	1	CzechRepublic.Slovakia.Germany	Germany	C.EBA	0	0.667	0.023	0.508081	0.163	0.397	0.44	0.027	0.036	0.045	9.8	0.508081	Use	CzechRepublic.Slovakia.Germany_3800.to.2700BP	Germany_3800.to.2700BP	CzechRepublic.Slovakia.Germany_3800.to.2700BP	CzechRepublic.Slovakia.Germany_3800.to.2700BP	0.234447
OTTM_165_d	OTTM_165	OTTM_165	MittnikScience2019	Direct: IntCal20	3572	52	1736-1535 calBCE (3349±29 BP, MAMS-21561)	Germany_Lech_MBA	Oberottmarshausen - Kiesgrube Lauter	Germany	48.22519	10.84977	1240K.and.Shotgun	2	0.008795	17842	F	n/a (no relatives detected)	n/a (female)	n/a (female)	H	half	OOH025.A0101, OOH025.A0102	PASS	..	0	1	1	1	1	CzechRepublic.Slovakia.Germany	Germany	C.EBA	0	0.812	0.037	0.767164	0.061	0.584	0.355	0.04	0.052	0.06	5.9	0.767164	Do not pool into main transects (<30000 SNPs)	Ignore_CzechRepublic.Slovakia.Germany_3800.to.2700BP	Ignore_Germany_3800.to.2700BP	Ignore_CzechRepublic.Slovakia.Germany_3800.to.2700BP_highEEF	CzechRepublic.Slovakia.Germany_3800.to.2700BP	0.067321
RISE471.SG	RISE471	burial 1	AllentoftNature2015	Direct: IntCal20	3543	46	1687-1517 calBCE (3330±29 BP, OxA-32104)	Germany_BA.SG	Untermeitingen	Germany	48.17	10.814	Shotgun	1	0.101	112715	M	n/a (no relatives detected)	R-V3286	R1b1a1b2a2b1	J1c1b	ds.minus	RISE471	PASS	Literature	1	1	1	0	0	CzechRepublic.Slovakia.Germany	Germany	C.EBA	0	0.752	0.018	0.334111	0.115	0.514	0.37	0.02	0.025	0.03	12.3	0.334111	Use	CzechRepublic.Slovakia.Germany_3800.to.2700BP	Germany_3800.to.2700BP	CzechRepublic.Slovakia.Germany_3800.to.2700BP_highEEF	CzechRepublic.Slovakia.Germany_3800.to.2700BP	0.004118
OTTM_87_d	OTTM_87	OTTM_87	MittnikScience2019	Direct: IntCal20	3540	48	1687-1509 calBCE (3324±34 BP, MAMS-21544)	Germany_Lech_MBA	Oberottmarshausen - Kiesgrube Lauter	Germany	48.22519	10.84977	1240K.and.Shotgun	2	0.017062	65442	F	n/a (no relatives detected)	n/a (female)	n/a (female)	HV16	half	OOH005.A0101, OOH005.A0102	PASS	..	1	1	1	1	1	CzechRepublic.Slovakia.Germany	Germany	C.EBA	0	0.724	0.021	0.384424	0.126	0.479	0.395	0.024	0.029	0.037	10.7	0.384424	Use	CzechRepublic.Slovakia.Germany_3800.to.2700BP	Germany_3800.to.2700BP	CzechRepublic.Slovakia.Germany_3800.to.2700BP	CzechRepublic.Slovakia.Germany_3800.to.2700BP	0.343303
OTTM_142_d	OTTM_142	OTTM_142	MittnikScience2019	Direct: IntCal20	3527	47	1687-1502 calBCE (3309±37 BP, MAMS-21554)	Germany_Lech_MBA	Oberottmarshausen - Kiesgrube Lauter	Germany	48.22519	10.84977	1240K.and.Shotgun	2	0.010555	55976	F	n/a (no relatives detected)	n/a (female)	n/a (female)	U5b1d1a	half	OOH018.A0101, OOH018.A0102	PASS	..	1	1	1	1	1	CzechRepublic.Slovakia.Germany	Germany	C.EBA	0	0.719	0.022	0.111795	0.117	0.45	0.433	0.025	0.031	0.038	11.4	0.111795	Use	CzechRepublic.Slovakia.Germany_3800.to.2700BP	Germany_3800.to.2700BP	CzechRepublic.Slovakia.Germany_3800.to.2700BP	CzechRepublic.Slovakia.Germany_3800.to.2700BP	0.709431
OTTM_141_d	OTTM_141	OTTM_141	MittnikScience2019	Direct: IntCal20	3516	44	1672-1461 calBCE (3297±36 BP, MAMS-21552)	Germany_Lech_MBA_lc	Oberottmarshausen - Kiesgrube Lauter	Germany	48.22519	10.84977	1240K.and.Shotgun	2	0	11803	F	n/a (no relatives detected)	n/a (female)	n/a (female)	H3ag	half	OOH016.A0101, OOH016.A0102	PASS	..	0	1	1	1	1	CzechRepublic.Slovakia.Germany	Germany	C.EBA	0.000229	0.8	0.042	0.113888	0.088	0.612	0.3	0.049	0.063	0.078	3.8	0.113888	Do not pool into main transects (<30000 SNPs)	Ignore_CzechRepublic.Slovakia.Germany_3800.to.2700BP	Ignore_Germany_3800.to.2700BP	Ignore_CzechRepublic.Slovakia.Germany_3800.to.2700BP_highEEF	CzechRepublic.Slovakia.Germany_3800.to.2700BP	0.112945
OTTM_141A	OTTM_141A	OTTM_141A	MittnikScience2019	Direct: IntCal20	3515	44	1671-1460 calBCE (3296±36 BP, MAMS-21553)	Germany_Lech_MBA_lc	Oberottmarshausen - Kiesgrube Lauter	Germany	48.22519	10.84977	1240K.and.Shotgun	4	0.004193	5306	M	n/a (no relatives detected)	..	..	J1c3e1	ss.minus,ss.half,ss.minus,ss.half	OOH017.A0101,OOH017.A0102,OOH017.A0101.SG,OOH017.A0102.SG	PASS	..	0	1	1	1	0	CzechRepublic.Slovakia.Germany	Germany	C.EBA	0.000002	0.64	0.059	0.070992	0.154	0.312	0.533	0.068	0.085	0.104	5.1	0.070992	Do not pool into main transects (<30000 SNPs)	Ignore_CzechRepublic.Slovakia.Germany_3800.to.2700BP	Ignore_Germany_3800.to.2700BP	Ignore_CzechRepublic.Slovakia.Germany_3800.to.2700BP_lowEEF	CzechRepublic.Slovakia.Germany_3800.to.2700BP	0.270843
OTTM_151ind2_d	OTTM_151ind2	OTTM_151ind2	MittnikScience2019	Direct: IntCal20	3507	36	1617-1504 calBCE (3288±27 BP, MAMS-21556)	Germany_Lech_MBA	Oberottmarshausen - Kiesgrube Lauter	Germany	48.22519	10.84977	1240K.and.Shotgun	2	0.130786	222458	F	n/a (no relatives detected)	n/a (female)	n/a (female)	X2b+226	half	OOH020.A0101, OOH020.A0102	PASS	..	1	1	1	1	1	CzechRepublic.Slovakia.Germany	Germany	C.EBA	0	0.762	0.014	0.779946	0.116	0.563	0.321	0.017	0.02	0.025	12.8	0.779946	Use	CzechRepublic.Slovakia.Germany_3800.to.2700BP	Germany_3800.to.2700BP	CzechRepublic.Slovakia.Germany_3800.to.2700BP_highEEF	CzechRepublic.Slovakia.Germany_3800.to.2700BP	0
OTTM_84_d	OTTM_84	OTTM_84	MittnikScience2019	Direct: IntCal20	3503	40	1622-1461 calBCE (3283±32 BP, MAMS-21543)	Germany_Lech_MBA_lc	Oberottmarshausen - Kiesgrube Lauter	Germany	48.22519	10.84977	1240K.and.Shotgun	2	0.010233	14021	F	n/a (no relatives detected)	n/a (female)	n/a (female)	U5b3	half	OOH003.A0101, OOH003.A0102	PASS	..	0	1	1	1	1	CzechRepublic.Slovakia.Germany	Germany	C.EBA	0	0.685	0.039	0.498767	0.133	0.368	0.499	0.042	0.054	0.065	7.7	0.498767	Do not pool into main transects (<30000 SNPs)	Ignore_CzechRepublic.Slovakia.Germany_3800.to.2700BP	Ignore_Germany_3800.to.2700BP	Ignore_CzechRepublic.Slovakia.Germany_3800.to.2700BP_lowEEF	CzechRepublic.Slovakia.Germany_3800.to.2700BP	0.656752
OTTM_156	OTTM_156	OTTM_156	MittnikScience2019	Direct: IntCal20	3448	36	1606-1434 calBCE (3241±28 BP, MAMS-21559)	Germany_Lech_MBA	Oberottmarshausen - Kiesgrube Lauter	Germany	48.22519	10.84977	1240K.and.Shotgun	4	0.159071	136893	M	n/a (no relatives detected)	R-M269	R1b1a1b	V1b	ss.minus,ss.half,ss.minus,ss.half	OOH024.A0101,OOH024.A0102,OOH024.A0101.SG,OOH024.A0102.SG	PASS	..	1	1	1	1	0	CzechRepublic.Slovakia.Germany	Germany	MBA	0	0.749	0.017	0.015785	0.156	0.569	0.275	0.019	0.024	0.028	9.8	0.015785	Use	CzechRepublic.Slovakia.Germany_3800.to.2700BP	Germany_3800.to.2700BP	CzechRepublic.Slovakia.Germany_3800.to.2700BP_highEEF	CzechRepublic.Slovakia.Germany_3800.to.2700BP	0.000017
WEZ39.SG	WEZ39	ALM 1996/0855-0055	WegmannCurBio2020	Context: Archaeological - Period	3200	29	1300-1200 BCE	Germany_Tollense_BA.SG	Mecklenburg-Vorpommern, Tollense battlefield 	Germany	53.74	13.31	Shotgun	..	0.038413	34911	M	n/a (no relatives detected)	I-Y3259	I2a1b1	J2b1a1	..	..	PASS	Literature	1	1	1	0	0	CzechRepublic.Slovakia.Germany	Germany	MBA	0	0.654	0.027	0.817313	0.203	0.404	0.392	0.031	0.04	0.049	8	0.817313	Use	CzechRepublic.Slovakia.Germany_3800.to.2700BP	Germany_3800.to.2700BP	CzechRepublic.Slovakia.Germany_3800.to.2700BP_o	CzechRepublic.Slovakia.Germany_3800.to.2700BP	0.004136
WEZ40.SG	WEZ40	ALM 1996/0855-0141	WegmannCurBio2020	Context: Archaeological - Period	3200	29	1300-1200 BCE	Germany_Tollense_BA.SG	Mecklenburg-Vorpommern, Tollense battlefield 	Germany	53.74	13.31	Shotgun	..	0.089944	74218	M	n/a (no relatives detected)	R-M269	R1b1a1b	T1a1	..	..	PASS	Literature	1	1	1	0	0	CzechRepublic.Slovakia.Germany	Germany	MBA	0	0.572	0.021	0.686399	0.294	0.362	0.344	0.024	0.03	0.037	9.3	0.686399	Use	CzechRepublic.Slovakia.Germany_3800.to.2700BP	Germany_3800.to.2700BP	CzechRepublic.Slovakia.Germany_3800.to.2700BP_lowEEF	CzechRepublic.Slovakia.Germany_3800.to.2700BP	0
WEZ15.SG	WEZ15	ALM 2000/1382-0001	WegmannCurBio2020	Context: Archaeological - Period	3200	29	1300-1200 BCE	Germany_Tollense_BA.SG	Mecklenburg-Vorpommern, Tollense battlefield 	Germany	53.74	13.31	Shotgun	..	0.183994	192063	M	n/a (no relatives detected)	I-Y3672	I2a1b1a1b1a1a~	U2e1a1	..	..	PASS	Literature	1	1	1	0	0	CzechRepublic.Slovakia.Germany	Germany	MBA	0	0.561	0.016	0.565976	0.3	0.352	0.349	0.019	0.023	0.028	12.5	0.565976	Use	CzechRepublic.Slovakia.Germany_3800.to.2700BP	Germany_3800.to.2700BP	CzechRepublic.Slovakia.Germany_3800.to.2700BP_lowEEF	CzechRepublic.Slovakia.Germany_3800.to.2700BP	0
WEZ35.SG	WEZ35	ALM 2008/0460-0223	WegmannCurBio2020	Context: Archaeological - Period	3200	29	1300-1200 BCE	Germany_Tollense_BA.SG	Mecklenburg-Vorpommern, Tollense battlefield 	Germany	53.74	13.31	Shotgun	..	0.087057	67369	M	n/a (no relatives detected)	R-P312	R1b1a1b1a1a2	K1c1	..	..	PASS	Literature	1	1	1	0	0	CzechRepublic.Slovakia.Germany	Germany	MBA	0	0.603	0.021	0.945458	0.27	0.406	0.324	0.025	0.03	0.038	8.5	0.945458	Use	CzechRepublic.Slovakia.Germany_3800.to.2700BP	Germany_3800.to.2700BP	CzechRepublic.Slovakia.Germany_3800.to.2700BP_highWHG	CzechRepublic.Slovakia.Germany_3800.to.2700BP	0.000035
WEZ24.SG	WEZ24	ALM 2011/1145-0428	WegmannCurBio2020	Context: Archaeological - Period	3200	29	1300-1200 BCE	Germany_Tollense_BA.SG	Mecklenburg-Vorpommern, Tollense battlefield 	Germany	53.74	13.31	Shotgun	..	0.045747	38773	M	n/a (no relatives detected)	I-M436	I2a1b	H27	..	..	PASS	Literature	1	1	1	0	0	CzechRepublic.Slovakia.Germany	Germany	MBA	0	0.592	0.025	0.328208	0.255	0.368	0.376	0.03	0.037	0.047	8	0.328208	Use	CzechRepublic.Slovakia.Germany_3800.to.2700BP	Germany_3800.to.2700BP	CzechRepublic.Slovakia.Germany_3800.to.2700BP_lowEEF	CzechRepublic.Slovakia.Germany_3800.to.2700BP	0.001231
WEZ58.SG	WEZ58	ALM 2013/0463-0277	WegmannCurBio2020	Context: Archaeological - Period	3200	29	1300-1200 BCE	Germany_Tollense_BA.SG	Mecklenburg-Vorpommern, Tollense battlefield 	Germany	53.74	13.31	Shotgun	..	0.063794	55487	M	n/a (no relatives detected)	I-L158	I2a1a1a	T2b	..	..	PASS	Literature	1	1	1	0	0	CzechRepublic.Slovakia.Germany	Germany	MBA	0	0.612	0.022	0.881329	0.233	0.382	0.384	0.026	0.032	0.04	9.6	0.881329	Use	CzechRepublic.Slovakia.Germany_3800.to.2700BP	Germany_3800.to.2700BP	CzechRepublic.Slovakia.Germany_3800.to.2700BP_lowEEF	CzechRepublic.Slovakia.Germany_3800.to.2700BP	0.00059
WEZ71.SG	WEZ71	ALM 2013/0463-0408	WegmannCurBio2020	Context: Archaeological - Period	3200	29	1300-1200 BCE	Germany_Tollense_BA.SG	Mecklenburg-Vorpommern, Tollense battlefield 	Germany	53.74	13.31	Shotgun	..	0.074738	35602	M	n/a (no relatives detected)	I-L1229	I2a1b1a1b1	J1c	..	..	PASS	Literature	1	1	1	0	0	CzechRepublic.Slovakia.Germany	Germany	MBA	0	0.6	0.027	0.184465	0.259	0.366	0.375	0.031	0.038	0.046	8.2	0.184465	Use	CzechRepublic.Slovakia.Germany_3800.to.2700BP	Germany_3800.to.2700BP	CzechRepublic.Slovakia.Germany_3800.to.2700BP_lowEEF	CzechRepublic.Slovakia.Germany_3800.to.2700BP	0.003379
WEZ83.SG	WEZ83	ALM 2013/0463-0932	WegmannCurBio2020	Context: Archaeological - Period	3200	29	1300-1200 BCE	Germany_Tollense_BA.SG	Mecklenburg-Vorpommern, Tollense battlefield 	Germany	53.74	13.31	Shotgun	..	0.066799	48414	M	n/a (no relatives detected)	I2	I2	I4a	..	..	PASS	Literature	1	1	1	0	0	CzechRepublic.Slovakia.Germany	Germany	MBA	0	0.635	0.024	0.705117	0.196	0.389	0.414	0.029	0.036	0.047	8.8	0.705117	Use	CzechRepublic.Slovakia.Germany_3800.to.2700BP	Germany_3800.to.2700BP	CzechRepublic.Slovakia.Germany_3800.to.2700BP	CzechRepublic.Slovakia.Germany_3800.to.2700BP	0.005842
WEZ57.SG	WEZ57	ALM 2013/0463-0967	WegmannCurBio2020	Context: Archaeological - Period	3200	29	1300-1200 BCE	Germany_Tollense_BA.SG	Mecklenburg-Vorpommern, Tollense battlefield 	Germany	53.74	13.31	Shotgun	..	0.090657	54348	M	n/a (no relatives detected)	R-L51	R1b1a1b1a	H2a1	..	..	PASS	Literature	1	1	1	0	0	CzechRepublic.Slovakia.Germany	Germany	MBA	0	0.684	0.021	0.228148	0.123	0.418	0.459	0.027	0.032	0.042	10.9	0.228148	Use	CzechRepublic.Slovakia.Germany_3800.to.2700BP	Germany_3800.to.2700BP	CzechRepublic.Slovakia.Germany_3800.to.2700BP	CzechRepublic.Slovakia.Germany_3800.to.2700BP	0.469303
WEZ56.SG	WEZ56	ALM 2013/0463-1009	WegmannCurBio2020	Context: Archaeological - Period	3200	29	1300-1200 BCE	Germany_Tollense_BA_o2.SG	Mecklenburg-Vorpommern, Tollense battlefield 	Germany	53.74	13.31	Shotgun	..	0.134604	90323	M	n/a (no relatives detected)	R-Z283	R1a1a1	T2b	..	..	PASS	Literature	1	1	1	0	0	CzechRepublic.Slovakia.Germany	Germany	MBA	0	0.577	0.018	0.014204	0.23	0.298	0.473	0.023	0.027	0.035	13.5	0.014204	Use	CzechRepublic.Slovakia.Germany_3800.to.2700BP	Germany_3800.to.2700BP	CzechRepublic.Slovakia.Germany_3800.to.2700BP_lowEEF	CzechRepublic.Slovakia.Germany_3800.to.2700BP	0
WEZ54.SG	WEZ54	ALM 2013/0463-1056	WegmannCurBio2020	Context: Archaeological - Period	3200	29	1300-1200 BCE	Germany_Tollense_BA.SG	Mecklenburg-Vorpommern, Tollense battlefield 	Germany	53.74	13.31	Shotgun	..	0.077939	61723	M	n/a (no relatives detected)	R-S14469	R1b1a1b1a1a2b1	V3a	..	..	PASS	Literature	1	1	1	0	0	CzechRepublic.Slovakia.Germany	Germany	MBA	0	0.738	0.022	0.624572	0.164	0.571	0.265	0.026	0.033	0.04	6.6	0.624572	Use	CzechRepublic.Slovakia.Germany_3800.to.2700BP	Germany_3800.to.2700BP	CzechRepublic.Slovakia.Germany_3800.to.2700BP_highEEF	CzechRepublic.Slovakia.Germany_3800.to.2700BP	0.026189
WEZ61.SG	WEZ61	ALM 2013/0463-1584	WegmannCurBio2020	Context: Archaeological - Period	3200	29	1300-1200 BCE	Germany_Tollense_BA.SG	Mecklenburg-Vorpommern, Tollense battlefield 	Germany	53.74	13.31	Shotgun	..	0.119601	93366	F	n/a (no relatives detected)	n/a (female)	n/a (female)	U4b1b1	..	..	PASS	Literature	1	1	1	0	0	CzechRepublic.Slovakia.Germany	Germany	MBA	0	0.643	0.019	0.816632	0.209	0.389	0.403	0.021	0.027	0.031	13	0.816632	Use	CzechRepublic.Slovakia.Germany_3800.to.2700BP	Germany_3800.to.2700BP	CzechRepublic.Slovakia.Germany_3800.to.2700BP	CzechRepublic.Slovakia.Germany_3800.to.2700BP	0.030324
WEZ64.SG	WEZ64	ALM 2013/0463-1729	WegmannCurBio2020	Context: Archaeological - Period	3200	29	1300-1200 BCE	Germany_Tollense_BA.SG	Mecklenburg-Vorpommern, Tollense battlefield 	Germany	53.74	13.31	Shotgun	..	0.09528	103941	M	n/a (no relatives detected)	I-Z2069	I2a1b1a1b1a	I1a1a	..	..	PASS	Literature	1	1	1	0	0	CzechRepublic.Slovakia.Germany	Germany	MBA	0	0.567	0.019	0.454815	0.291	0.348	0.361	0.022	0.027	0.033	10.9	0.454815	Use	CzechRepublic.Slovakia.Germany_3800.to.2700BP	Germany_3800.to.2700BP	CzechRepublic.Slovakia.Germany_3800.to.2700BP_lowEEF	CzechRepublic.Slovakia.Germany_3800.to.2700BP	0
WEZ51.SG	WEZ51	ALM 2013/0463-1946	WegmannCurBio2020	Context: Archaeological - Period	3200	29	1300-1200 BCE	Germany_Tollense_BA.SG	Mecklenburg-Vorpommern, Tollense battlefield 	Germany	53.74	13.31	Shotgun	..	0.097496	50290	M	n/a (no relatives detected)	I-Z2068	I2a1b1a1b1a1a~	H1c	..	..	PASS	Literature	1	1	1	0	0	CzechRepublic.Slovakia.Germany	Germany	MBA	0	0.609	0.023	0.080981	0.227	0.369	0.404	0.027	0.033	0.042	9.6	0.080981	Use	CzechRepublic.Slovakia.Germany_3800.to.2700BP	Germany_3800.to.2700BP	CzechRepublic.Slovakia.Germany_3800.to.2700BP_lowEEF	CzechRepublic.Slovakia.Germany_3800.to.2700BP	0.041338
WEZ59.SG	WEZ59	ALM 2013/0463-1980	WegmannCurBio2020	Context: Archaeological - Period	3200	29	1300-1200 BCE	Germany_Tollense_BA.SG	Mecklenburg-Vorpommern, Tollense battlefield 	Germany	53.74	13.31	Shotgun	..	0.097469	93242	M	n/a (no relatives detected)	R-CTS9881	R1b1a1b1a1a2c1a4b2c1a1	U5a2b1a	..	..	PASS	Literature	1	1	1	0	0	CzechRepublic.Slovakia.Germany	Germany	MBA	0	0.595	0.02	0.725297	0.267	0.383	0.35	0.023	0.029	0.035	10	0.725297	Use	CzechRepublic.Slovakia.Germany_3800.to.2700BP	Germany_3800.to.2700BP	CzechRepublic.Slovakia.Germany_3800.to.2700BP_lowEEF	CzechRepublic.Slovakia.Germany_3800.to.2700BP	0
WEZ53.SG	WEZ53	ALM 2013/0463-2000	WegmannCurBio2020	Context: Archaeological - Period	3200	29	1300-1200 BCE	Germany_Tollense_BA.SG	Mecklenburg-Vorpommern, Tollense battlefield 	Germany	53.74	13.31	Shotgun	..	0.050905	54479	M	n/a (no relatives detected)	R-M269	R1b1a1b	U2e2a1a2	..	..	PASS	Literature	1	1	1	0	0	CzechRepublic.Slovakia.Germany	Germany	MBA	0	0.641	0.023	0.350326	0.204	0.383	0.414	0.027	0.034	0.043	9.6	0.350326	Use	CzechRepublic.Slovakia.Germany_3800.to.2700BP	Germany_3800.to.2700BP	CzechRepublic.Slovakia.Germany_3800.to.2700BP	CzechRepublic.Slovakia.Germany_3800.to.2700BP	0.620456
WEZ48.SG	WEZ48	ALM 2010/1093-1022	WegmannCurBio2020	Context: Archaeological - Period	3200	29	1300-1200 BCE	Germany_Tollense_BA_lc.SG	Mecklenburg-Vorpommern, Tollense battlefield 	Germany	53.74	13.31	Shotgun	..	0.014323	13575	M	n/a (no relatives detected)	CT	CT	J1c	..	..	PASS	Literature	0	1	1	0	0	CzechRepublic.Slovakia.Germany	Germany	MBA	0.000021	0.686	0.041	0.168458	0.171	0.452	0.377	0.05	0.063	0.081	4.7	0.168458	Do not pool into main transects (<30000 SNPs)	Ignore_CzechRepublic.Slovakia.Germany_3800.to.2700BP	Ignore_Germany_3800.to.2700BP	Ignore_CzechRepublic.Slovakia.Germany_3800.to.2700BP	CzechRepublic.Slovakia.Germany_3800.to.2700BP	0.21663
WEZ74.SG	WEZ74	ALM 2013/0463-1588	WegmannCurBio2020	Context: Archaeological - Period	3200	29	1300-1200 BCE	Germany_Tollense_BA.SG	Mecklenburg-Vorpommern, Tollense battlefield 	Germany	53.74	13.31	Shotgun	..	0.03735	23318	F	n/a (no relatives detected)	n/a (female)	n/a (female)	T2b	..	..	PASS	Literature	0	1	1	0	0	CzechRepublic.Slovakia.Germany	Germany	MBA	0	0.587	0.031	0.117521	0.289	0.405	0.306	0.037	0.045	0.055	5.6	0.117521	Do not pool into main transects (<30000 SNPs)	Ignore_CzechRepublic.Slovakia.Germany_3800.to.2700BP	Ignore_Germany_3800.to.2700BP	Ignore_CzechRepublic.Slovakia.Germany_3800.to.2700BP_highWHG	CzechRepublic.Slovakia.Germany_3800.to.2700BP	0.766952
I0099_published	I0099	HAL36C	MathiesonNature2015	Direct: IntCal20	3024	55	1202-940 calBCE (2889±30 BP, MAMS-21484)	Germany_LBA_Halberstadt	Halberstadt-Sonntagsfeld	Germany	51.89583333	11.04666667	1240K	2	4.948	940663	M	n/a (no relatives detected)	R-Z280	R1a1a1	H23	..,..	S0272.L1,S1226.L1	PASS	..	1	1	1	1	1	CzechRepublic.Slovakia.Germany	Germany	LBA	0	0.665	0.014	0.753693	0.143	0.347	0.51	0.015	0.018	0.021	24.3	0.753693	Use	CzechRepublic.Slovakia.Germany_3800.to.2700BP	Germany_3800.to.2700BP	CzechRepublic.Slovakia.Germany_3800.to.2700BP_lowEEF	CzechRepublic.Slovakia.Germany_3800.to.2700BP	0
MX265	MX265	1952/15	FurtwanglerNatureCommunications2020	Direct: IntCal20	2569	92	757-421 calBCE (2464±23 BP, BE-9205.1.1)	Germany_SouthernGermany_Singen_IA	Southern Germany, Singen	Germany	47.767097	8.872239	1240K	1	0.822985	440653	M	n/a (no relatives detected)	R-PF6155	R1a1a1	H1c	ds.half	MX265	PASS	..	1	1	1	1	1	CzechRepublic.Slovakia.Germany	Germany	IA	0	0.722	0.014	0.259081	0.135	0.481	0.383	0.015	0.019	0.022	17.4	0.259081	Use	CzechRepublic.Slovakia.Germany_IA	Germany_IA	CzechRepublic.Slovakia.Germany_IA	CzechRepublic.Slovakia.Germany_IA	0.426625
I1878_published	I1878	BAM17b	LipsonNature2017	Direct: IntCal20	7687	39	5830-5664 calBCE (6857±31 BP, MAMS-11935)	Hungary_EN_Starcevo_1	Alsonyek-Bataszek, Mérnöki telep	Hungary	46.208562	18.700047	1240K	1	1.468	695986	M	n/a (no relatives detected)	H-P96	H	T1a2	ds.half	S2342.L1	PASS	X-contam=0.009; mtcontam=0.95	1	1	1	1	1	Austria.Hungary.Slovenia	Hungary	N	0.995006	0.916	0.013	0.739898	0.086	0.911	0.002	0.015	0.017	0.018	0.1	0.995006	Use	Austria.Hungary.Slovenia_8100.to.6500BP	Hungary_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	0.286989
