Index	Version ID	Master ID	Skeletal code	Skeletal element	Year data from this individual was first published [for a present-day individuals we give the data of the data reported here; missing: GreenScience 2010 (Vi33.15, Vi33.26), Olalde2018 (I2657), RasmussenNature2010 (Australian)]	Publication	Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r:5; Atmospheric data from Reimer et al (2020)	Date mean in BP [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform disribution between the two bounds for a contextual date]	Full Date: One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE	Age at Death Estimate	Group ID	Locality	Country	Lat.	Long.	Data source	No. Libraries	Coverage on autosomal targets	SNPs hit on autosomal targets	Mean length of shotgun sequences (merged data)	Sex	Family ID and position within family	Y haplogroup  in ISOGG v15.73 notation (automatically called)	Y haplogroup (manual curation in terminal mutation format)	Y haplogroup (manual curation in ISOGG format)	mtDNA coverage (merged data)	mtDNA haplogroup if ≥2 or published	mtDNA match to consensus if ≥2 coverage (merged data)	Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data)	Sex ratio [Y/(Y+X) counts] (merged data)	Xcontam ANGSD SNPs (only if male)	Xcontam ANGSD MOM point estimate (only if male and ≥200)	Xcontam ANGSD MOM Z-score (only if male and ≥200)	Xcontam ANGSD MOM 95% CI truncated at 0 (only if male and ≥200)	contamLD est	contamLD s.e.	contamLD warning	contamLD s.e..1	Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)	LibraryID(s)	ASSESSMENT	"ASSESSMENT REASONING (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0.98: 0.9-0.95 is ""QUESTIONABLE""; <0.9 is ""QUESTIONABLE_CRITICAL"", questionable status gets overriden by ANGSD with PASS if upper bound of contamination is <0.01 and QUESTIONABLE if upper bound is 0.01-0.05) (damage for ds.half is ""QUESTIONABLE_CRITICAL/FAIL"" if <0.01, and recorded but passed if 0.01-0.03; libraries with untreated last base are ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if <0.01, ""QUESTIONABLE"" if 0.01-0.03, and recorded but passed if 0.03-0.1) (sexratio is QUESTIONABLE if [0.03,0.10] or [0.30,0.35); QUESTIONABLE_CRITICAL/FAIL if (0.10,0.30))"	Y haplogroup in terminal mutation notation (automatically called)	mt haplogroup	Method for Determining Date (including any warnings)	Data type	SNP >=30000	Not questionable	 Not 1d relative of another high coverage sample	1240k data	UDG treated or modern or expected low damage due to diploid consensus calling	Coarse Subregion	Fine Subregion	Period	P-value for qpAdm (2-way model) (Balkan_N new)	EEF (2-way model)	EEF err. (2-way model)	P-value for qpAdm (3-way model)	WHG (3-way model)	EEF (3-way model)	Steppe (3-way model)	WHG err. (3-way model)	EEF err. (3-way model)	Steppe err. (3-way model)	Z-score for non-zero Steppe ancestry	Maximum P-value for 2-way and 3-way qpAdm	Filter 0: >=30000 SNPs, PASS assessment, relevant period, not a first degree relative of higher coverage individuals)	Filter 1: Filter 0 plus p>0.01 qpAdm 3-way or qpAdm 2-way	Filter 1 alternative: Version of Filter 1 but with subregional classifications in the Iron Age	"Filter 2: Filter 1 +  significant outliers by qpWave from other individuals of the comparison group that are not labeled as ""Ignore"" or  outlier; for ""Neolithic"" we also reject if Z>2.58 for steppe ancestry. We label all individuals where non-Ignore individuals are P<0.05 or less after the first is significant at P<0.005 as extreme outliers"	Filter 2 comparison group	P-values from main comparison group (from 1240k data when a 1240k sample, from all samples when a .SG sample)
	I14551	I14551	TB 170, HATMP100348.2 (Grave 2)			This study		2349	46	514-234 calBCE (2333±31 BP, SUERC-76365)		England_MIA	England, Sussex, Brighton, Slonk Hill	United Kingdom	50.844866	-0.266087		1	2.229921	745499		F	United Kingdom, England, Sussex, Brighton, Slonk Hill Family A (2 members) (I14551 and I7632 are 2nd or 3rd degree relatives)	n/a (female)																ds.half	S14551.Y1.E1.L1	PASS	mtcontam=[0.952,0.978]	n/a (female)	H6a1a	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Southeast	IA	0.0	0.696	0.013	0.269528	0.126	0.403	0.471	0.014	0.017	0.019	24.8	0.269528	Use	England.and.Wales_IA	England.Southeast_IA	England.and.Wales_IA	England.and.Wales_IA	0.117567
	I14549	I14549	TB 168, R3706			This study		2267	63	401-208 calBCE (2279±31 BP, SUERC-76366)		England_MIA	England, Sussex, Brighton, Woodingdean	United Kingdom	50.836656	-0.075378		1	0.564776	450985		F	n/a (no relatives detected)	n/a (female)																ds.half	S14549.Y1.E1.L1	PASS	..	n/a (female)	H1	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Southeast	IA	0.0	0.698	0.013	0.85722	0.119	0.373	0.508	0.014	0.018	0.022	23.1	0.85722	Use	England.and.Wales_IA	England.Southeast_IA	England.and.Wales_IA	England.and.Wales_IA	0.79079
	I14543	I14543	TB 162, R2315/2			This study		3975	245	2450-1600 BCE		England_C_EBA	England, Sussex, Brighton, Ditchling Road	United Kingdom	50.851087	-0.134783		1	2.398684	751002		F	n/a (no relatives detected)	n/a (female)																ds.half	S14543.Y1.E1.L1	PASS	..	n/a (female)	K1a4a1g	Context: Archaeological - Period	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Southeast	C.EBA	0.0	0.657	0.014	0.856971	0.13	0.33	0.54	0.015	0.018	0.021	25.7	0.856971	Use	England.and.Wales_C.EBA	England.Southeast_C.EBA	England.and.Wales_C.EBA	England.and.Wales_C.EBA	0.470104
	I13757	I13757	Sk109			This study		2175	101	400-50 BCE		England_EastYorkshire_MIA_LIA	England, East Riding of Yorkshire, Pocklington (Burnby Lane)	United Kingdom	53.919396	-0.766635		1	1.653098	678960		F	n/a (no relatives detected)	n/a (female)																ss.half	S13757.Y1.E1.L1	PASS	damage.ss.half=0.096	n/a (female)	T2c1d1a	Context: Archaeological - Period	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.EastYorkshire	IA	0.0	0.659	0.013	0.308155	0.149	0.386	0.464	0.015	0.018	0.021	22.1	0.308155	Use	England.and.Wales_IA	England.EastYorkshire_IA	England.and.Wales_IA	England.and.Wales_IA	0.691975
	I13752	I13752	Sk82			This study		2121	77	346-53 calBCE (2136±25 BP, SUERC-83077)		England_EastYorkshire_MIA_LIA_sister.I5511	England, East Riding of Yorkshire, Pocklington (Burnby Lane)	United Kingdom	53.919396	-0.766635		1	1.80405	649220		F	United Kingdom, England, Pocklington Family E (2 members) (I13752 and I5511 are siblings)	n/a (female)																ss.half	S13752.Y1.E1.L1	PASS	..	n/a (female)	J1c9	Direct: IntCal20	1240K	1.0	1.0	0.0	1.0	1.0	England.and.Wales	England.EastYorkshire	IA	0.0	0.665	0.013	0.555071	0.126	0.374	0.5	0.015	0.017	0.021	23.8	0.555071	Do not pool into main transects (1st degree relative of another higher coverage individual)	Ignore_England.and.Wales_IA	Ignore_England.EastYorkshire_IA	Ignore_England.and.Wales_IA	England.and.Wales_IA	0.359644
	I13751	I13751	Sk80			This study		2175	101	400-50 BCE		England_EastYorkshire_MIA_LIA	England, East Riding of Yorkshire, Pocklington (Burnby Lane)	United Kingdom	53.919396	-0.766635		1	1.623427	635288		F	United Kingdom, England, Pocklington Family B (4 members) (I14105-I13751 have a 2d or 3d relationship; I5508-I14108 have a 2d or 3d relationship; I14105-I5508 have a 2d or 3d relationship)	n/a (female)																ss.half	S13751.Y1.E1.L1	PASS	..	n/a (female)	H2a3b	Context: Archaeological - Period	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.EastYorkshire	IA	0.0	0.679	0.014	0.767626	0.131	0.376	0.493	0.015	0.018	0.022	22.4	0.767626	Use	England.and.Wales_IA	England.EastYorkshire_IA	England.and.Wales_IA	England.and.Wales_IA	0.794749
	I13754	I13754	Sk87			This study		2175	101	400-50 BCE		England_EastYorkshire_MIA_LIA	England, East Riding of Yorkshire, Pocklington (Burnby Lane)	United Kingdom	53.919396	-0.766635		1	1.914306	668876		M	n/a (no relatives detected)	R1b1a1b1a1a2d1																ss.half	S13754.Y1.E1.L1	PASS	..	R-Z2245	U5b2b3	Context: Archaeological - Period	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.EastYorkshire	IA	0.0	0.646	0.014	0.18775	0.134	0.361	0.505	0.016	0.018	0.021	24.0	0.18775	Use	England.and.Wales_IA	England.EastYorkshire_IA	England.and.Wales_IA	England.and.Wales_IA	0.373635
	I13760	I13760	Sk142			This study		2175	101	400-50 BCE		England_EastYorkshire_MIA_LIA	England, East Riding of Yorkshire, Pocklington (Burnby Lane)	United Kingdom	53.919396	-0.766635		1	1.054656	635091		M	n/a (no relatives detected)	R1b1a1b1a1a2c1																ss.half	S13760.Y1.E1.L1	PASS	..	R-DF13	H2a3b	Context: Archaeological - Period	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.EastYorkshire	IA	0.0	0.659	0.013	0.510022	0.156	0.387	0.458	0.015	0.018	0.022	20.8	0.510022	Use	England.and.Wales_IA	England.EastYorkshire_IA	England.and.Wales_IA	England.and.Wales_IA	0.196999
	I13759	I13759	Sk129			This study		2175	101	400-50 BCE		England_EastYorkshire_MIA_LIA	England, East Riding of Yorkshire, Pocklington (Burnby Lane)	United Kingdom	53.919396	-0.766635		1	2.779256	774653		M	n/a (no relatives detected)	R1b1a1b1a1a2a6																ss.half	S13759.Y1.E1.L1	PASS	..	R-Z2572	H2a3b	Context: Archaeological - Period	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.EastYorkshire	IA	0.0	0.678	0.012	0.000484	0.119	0.391	0.49	0.014	0.016	0.02	24.5	0.000484	Use	Ignore_England.and.Wales_IA	Ignore_England.EastYorkshire_IA	Ignore_England.and.Wales_IA	England.and.Wales_IA	0.063515
	I13758	I13758	Sk116			This study		2175	101	400-50 BCE		England_EastYorkshire_IA	England, East Riding of Yorkshire, Pocklington (Burnby Lane)	United Kingdom	53.919396	-0.766635		1	1.550043	600912		M	n/a (no relatives detected)	R1b1a1b1a1a2b1																ss.half	S13758.Y1.E1.L1	PASS	damage.ss.half=0.085	R-L2	H2a3b	Context: Archaeological - Period	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.EastYorkshire	IA	0.0	0.704	0.014	0.374607	0.122	0.386	0.492	0.015	0.019	0.022	22.4	0.374607	Use	England.and.Wales_IA	England.EastYorkshire_IA	England.and.Wales_IA	England.and.Wales_IA	0.761279
	I13755	I13755	Sk100			This study		2175	101	400-50 BCE		England_EastYorkshire_MIA_LIA	England, East Riding of Yorkshire, Pocklington (Burnby Lane)	United Kingdom	53.919396	-0.766635		1	0.540242	440099		F	n/a (no relatives detected)	n/a (female)																ss.half	S13755.Y1.E1.L1	PASS	damage.ss.half=0.074	n/a (female)	H2a3b	Context: Archaeological - Period	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.EastYorkshire	IA	0.0	0.65	0.013	0.565608	0.155	0.372	0.473	0.015	0.018	0.023	20.6	0.565608	Use	England.and.Wales_IA	England.EastYorkshire_IA	England.and.Wales_IA	England.and.Wales_IA	0.988139
	I13753	I13753	Sk86			This study		2175	101	400-50 BCE		England_EastYorkshire_MIA_LIA	England, East Riding of Yorkshire, Pocklington (Burnby Lane)	United Kingdom	53.919396	-0.766635		1	2.316939	736077		M	n/a (no relatives detected)	R1b1a1b1a1a2c1a1b																ss.half	S13753.Y1.E1.L1	PASS	..	R-FGC49766	H2a3b	Context: Archaeological - Period	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.EastYorkshire	IA	0.0	0.624	0.014	0.857011	0.162	0.35	0.488	0.015	0.017	0.021	23.2	0.857011	Use	England.and.Wales_IA	England.EastYorkshire_IA	England.and.Wales_IA	England.and.Wales_IA	0.14435
	I13756	I13756	Sk107			This study		2175	101	400-50 BCE		England_EastYorkshire_MIA_LIA	England, East Riding of Yorkshire, Pocklington (Burnby Lane)	United Kingdom	53.919396	-0.766635		1	1.897094	702801		F	n/a (no relatives detected)	n/a (female)																ss.half	S13756.Y1.E1.L1	PASS	mtcontam=[0.943,0.967]	n/a (female)	K1c1a	Context: Archaeological - Period	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.EastYorkshire	IA	0.0	0.649	0.013	0.269603	0.134	0.358	0.508	0.015	0.017	0.022	23.1	0.269603	Use	England.and.Wales_IA	England.EastYorkshire_IA	England.and.Wales_IA	England.and.Wales_IA	0.588132
	I16457	I16457	TB 203; 1991.789.6 (Skeleton 2180)			This study		2050	116	300 BCE - 100 CE		England_MIA_LIA	England, Cornwall, Newquay, Trethellan Farm	United Kingdom	50.203523	-5.199698		1	0.914007	587839		F	n/a (no relatives detected)	n/a (female)																ds.half	S16457.Y1.E1.L1	PASS	..	n/a (female)	T1a1	Context: Archaeological - Period	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Cornwall	IA	0.0	0.679	0.013	0.834919	0.115	0.391	0.493	0.014	0.017	0.021	23.5	0.834919	Use	England.and.Wales_IA	England.Cornwall_IA	England.and.Wales_IA	England.and.Wales_IA	0.635631
	I16463	I16463	TB 224; Individual 1			This study		5700	144	4000-3500 BCE		England_N	England, North Yorkshire, Cockerham, Elbolton Cave	United Kingdom	54.050362	-1.989273		1	0.67086	487724		M	n/a (no relatives detected)	I2a1b1a1a1																ds.half	S16463.Y1.E1.L1	PASS	..	I-L1195	H4a1a2	Context: Archaeological - Period	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.North	N	0.038988	0.796	0.014	0.115788	0.192	0.769	0.038	0.015	0.018	0.019	2.0	0.115788	Use	England.and.Wales_N	England.North_N	England.and.Wales_N	England.and.Wales_N	0.377472
	I16488	I16488	TB 253; 25.221/2.61			This study		3050	48	1201-1015 calBCE (2910±20 BP, PSUAMS-8441)		Wales_LBA	Wales, West Glamorgan, Gower Peninsula, Port Eynon, Culver Hole Cave	United Kingdom	51.537627	-4.211801		1	0.730491	544747		M	n/a (no relatives detected)	R1b1a1b1a1a2c1a1h																ds.half	S16488.Y1.E1.L1	PASS	damage.ds.half=0.043	R-Y5305	U5a1b1	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	Wales.South	LBA	0.0	0.636	0.013	0.402756	0.137	0.334	0.528	0.015	0.017	0.022	24.0	0.402756	Use	England.and.Wales_LBA	Wales.South_LBA	England.and.Wales_LBA	England.and.Wales_LBA	0.182872
	I16441	I16441	TB 177; TRURI 1900-36-14			This study		2329	243	800 BCE - 43 CE		England_IA	England, Cornwall, Padstow, St. Merryn, Harlyn Bay	United Kingdom	50.539905	-4.997809		1	1.914701	721882		F	n/a (no relatives detected)	n/a (female)																ds.half	S16441.Y1.E1.L1	PASS	..	n/a (female)	J1c2e	Context: Archaeological - Period	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Cornwall	IA	0.0	0.663	0.013	0.091422	0.132	0.364	0.503	0.014	0.017	0.02	25.2	0.091422	Use	England.and.Wales_IA	England.Cornwall_IA	England.and.Wales_IA	England.and.Wales_IA	0.223912
	I16450	I16450	TB 189; Sk 2080			This study		2050	116	300 BCE - 100 CE		England_MIA_LIA	England, Cornwall, Newquay, Trethellan Farm	United Kingdom	50.203523	-5.199698		1	2.16593	733970		M	n/a (no relatives detected)	R1b1a1b1a1a2a																ds.half	S16450.Y1.E1.L1	PASS	..	R-Y14529	T1a1	Context: Archaeological - Period	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Cornwall	IA	0.0	0.667	0.013	0.288336	0.151	0.365	0.485	0.014	0.017	0.02	24.3	0.288336	Use	England.and.Wales_IA	England.Cornwall_IA	England.and.Wales_IA	England.and.Wales_IA	0.587461
	I16442	I16442	TB 178; TRURI 1900-36-12			This study		2329	243	800 BCE - 43 CE		England_IA	England, Cornwall, Padstow, St. Merryn, Harlyn Bay	United Kingdom	50.539905	-4.997809		1	2.930128	760576		F	n/a (no relatives detected)	n/a (female)																ds.half	S16442.Y1.E1.L1	PASS	..	n/a (female)	U4b1a1a1	Context: Archaeological - Period	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Cornwall	IA	0.0	0.652	0.012	0.146808	0.145	0.346	0.509	0.013	0.016	0.02	25.5	0.146808	Use	England.and.Wales_IA	England.Cornwall_IA	England.and.Wales_IA_o	England.and.Wales_IA	0.00427
	I16455	I16455	TB 196; Sk 2119 (1991.789.5)			This study		2050	116	300 BCE - 100 CE		England_MIA_LIA	England, Cornwall, Newquay, Trethellan Farm	United Kingdom	50.203523	-5.199698		1	0.059305	67338		M	n/a (no relatives detected)	R1b1a1b1a1a2c																ds.half	S16455.Y1.E1.L1	PASS	..	R-S461	T1	Context: Archaeological - Period	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Cornwall	IA	0.0	0.67	0.02	0.434648	0.15	0.391	0.459	0.023	0.028	0.035	13.1	0.434648	Use	England.and.Wales_IA	England.Cornwall_IA	England.and.Wales_IA	England.and.Wales_IA	0.32811
	I16458	I16458	TB 205; 1991.78a.1 (Skeleton 2077)			This study		2050	116	300 BCE - 100 CE		England_MIA_LIA	England, Cornwall, Newquay, Trethellan Farm	United Kingdom	50.203523	-5.199698		1	0.586645	464079		M	n/a (no relatives detected)	R1b1a1b1a1a2c1a6a																ds.half	S16458.Y1.E1.L1	PASS	..	R-BY33481	T2c1d+152	Context: Archaeological - Period	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Cornwall	IA	0.0	0.659	0.013	0.717437	0.14	0.36	0.499	0.015	0.018	0.022	22.7	0.717437	Use	England.and.Wales_IA	England.Cornwall_IA	England.and.Wales_IA	England.and.Wales_IA	0.050535
	I16440	I16440	TB 175; TRURI 1900-36-10			This study		2329	243	800 BCE - 43 CE		England_IA	England, Cornwall, Padstow, St. Merryn, Harlyn Bay	United Kingdom	50.539905	-4.997809		1	0.566388	461882		M	n/a (no relatives detected)	R1b1a1b1a1a2b1c1b																ds.half	S16440.Y1.E1.L1	PASS	..	R-FGC12384	T2c1d+152	Context: Archaeological - Period	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Cornwall	IA	0.0	0.687	0.014	0.488171	0.108	0.362	0.53	0.015	0.019	0.023	23.0	0.488171	Use	England.and.Wales_IA	England.Cornwall_IA	England.and.Wales_IA	England.and.Wales_IA	0.358066
	I16424	I16424	TB 136; Sk 1			This study		4106	65	2285-2036 calBCE (3751±32 BP, SUERC-55908)		England_C_EBA	England, Cornwall, Padstow, St. Merryn, Harlyn Bay	United Kingdom	50.539905	-4.997809		1	2.741785	791090		F	n/a (no relatives detected)	n/a (female)																ds.half	S16424.Y1.E1.L1	PASS	..	n/a (female)	R1b	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Cornwall	C.EBA	0.0	0.66	0.014	0.444079	0.111	0.295	0.594	0.015	0.018	0.022	27.0	0.444079	Use	England.and.Wales_C.EBA	England.Cornwall_C.EBA	England.and.Wales_C.EBA	England.and.Wales_C.EBA	0.078123
	I16454	I16454	TB 195; Cist 8			This study		3162	67	1381-1056 calBCE (2985±35 BP, SUERC-16818)		England_MBA	England, Cornwall, St. Merryn, Constantine Island	United Kingdom	50.536523	-5.025273		1	0.904454	573481		M	n/a (no relatives detected)	R1b1a1b1a1a2a																ds.half	S16454.Y1.E1.L1	PASS	..	R-BY27831	U5b2b2	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Cornwall	MBA	0.0	0.695	0.015	0.211919	0.115	0.343	0.541	0.015	0.019	0.021	25.8	0.211919	Use	England.and.Wales_MBA	England.Cornwall_MBA	England.and.Wales_MBA	England.and.Wales_MBA	0.039234
	I16476	I16476	TB 238; 25.221/2.12			This study		3350	115	1600-1200 BCE		Wales_MBA	Wales, West Glamorgan, Gower Peninsula, Port Eynon, Culver Hole Cave	United Kingdom	51.537627	-4.211801		1	0.042635	48767		F	n/a (no relatives detected)	n/a (female)																ds.half	S16476.Y1.E1.L1	PASS	..	n/a (female)	H24	Context: Archaeological - Period	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	Wales.South	MBA	0.0	0.717	0.023	0.419801	0.09	0.383	0.526	0.025	0.033	0.04	13.2	0.419801	Use	England.and.Wales_MBA	Wales.South_MBA	England.and.Wales_MBA	England.and.Wales_MBA	0.252378
	I16439	I16439	TB 173; TRURI 1900-36-15			This study		2329	243	800 BCE - 43 CE		England_IA	England, Cornwall, Padstow, St. Merryn, Harlyn Bay	United Kingdom	50.539905	-4.997809		1	2.763267	781014		F	n/a (no relatives detected)	n/a (female)																ds.half	S16439.Y1.E1.L1	PASS	..	n/a (female)	T2c1d+152	Context: Archaeological - Period	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Cornwall	IA	0.0	0.667	0.014	0.343181	0.138	0.371	0.491	0.015	0.017	0.021	23.4	0.343181	Use	England.and.Wales_IA	England.Cornwall_IA	England.and.Wales_IA	England.and.Wales_IA	0.847368
	I16491	I16491	TB 261; 92.23H/42			This study		4686	131	2876-2680 calBCE (4170±100 BP, OxA-3817)		Wales_N	Wales, Denbighshire, Llanferres, Orchid Cave	United Kingdom	53.135717	-3.197263		1	0.0854	95822		M	n/a (no relatives detected)	I2a1b1a1a1																ds.half	S16491.Y1.E1.L1	QUESTIONABLE	mtcontam=[0.9,0.936]	I-L1195	U5b2b	Direct: IntCal20	1240K	1.0	0.0	1.0	1.0	1.0	England.and.Wales	Wales.North	N	0.964282	0.792	0.017	0.763546	0.209	0.79	0.001	0.021	0.024	0.028	0.0	0.964282	Do not pool into main transects (QUESTIONABLE)	Ignore_England.and.Wales_N	Ignore_Wales.North_N	Ignore_England.and.Wales_N	England.and.Wales_N	0.956788
	I16471_d	I16471	TB 233; HM04(032) Al 1			This study		2025	72	200 BCE - 50 CE		Wales_LIA_lc	Wales, Glamorgan, Llantwit Major, Llanmaes	United Kingdom	51.416667	-3.466667		1	0.010159	12071		F	n/a (no relatives detected)	n/a (female)																ds.half	S16471.Y1.E1.L1	PASS	damage.ds.half=0.025	n/a (female)	H2a	Context: Layer date of 164 calBCE - 20 calCE (2059±31 BP,UB-7340)	1240K	0.0	1.0	1.0	1.0	1.0	England.and.Wales	Wales.South	IA	0.0	0.614	0.045	0.088365	0.133	0.287	0.581	0.053	0.06	0.08	7.3	0.088365	Do not pool into main transects (<30000 SNPs)	Ignore_England.and.Wales_IA	Ignore_Wales.South_IA	Ignore_England.and.Wales_IA	England.and.Wales_IA	0.10436
	I16456_d	I16456	TB 197; Sk 2128 (1991.789.8)			This study		2050	116	300 BCE - 100 CE		England_MIA_LIA_lc	England, Cornwall, Newquay, Trethellan Farm	United Kingdom	50.203523	-5.199698		1	0.002052	2509		F	n/a (no relatives detected)	n/a (female)																ds.half	S16456.Y1.E1.L1	QUESTIONABLE	2500.to.5000.SNPs	n/a (female)	T1a1'3	Context: Archaeological - Period	1240K	0.0	0.0	1.0	1.0	1.0	England.and.Wales	England.Cornwall	IA	0.004657	0.633	0.078	0.667584	0.151	0.297	0.552	0.098	0.128	0.172	3.2	0.667584	Do not pool into main transects (<30000 SNPs + QUESTIONABLE)	Ignore_England.and.Wales_IA	Ignore_England.Cornwall_IA	Ignore_England.and.Wales_IA	England.and.Wales_IA	0.671592
	I16479_d	I16479	TB 241; 2000.50H/6			This study		3250	115	1500-1100 BCE		Wales_MBA_lc	Wales, Conwy, Llandudno, Little Ormes Head, Ogof Rhiwledyn	United Kingdom	53.327824	-3.780295		1	0.004131	5021		U	n/a (no relatives detected)	..																ds.half	S16479.Y1.E1.L1	QUESTIONABLE	sex.ratio=0.033	..	H	Context: Archaeological - Period	1240K	0.0	0.0	1.0	1.0	1.0	England.and.Wales	Wales.North	MBA	0.0	0.682	0.068	0.341709	0.019	0.298	0.684	0.077	0.091	0.121	5.7	0.341709	Do not pool into main transects (<30000 SNPs)	Ignore_England.and.Wales_MBA	Ignore_Wales.North_MBA	Ignore_England.and.Wales_MBA	England.and.Wales_MBA	0.643767
	I16459_d	I16459	TB 207; F4			This study		2945	55	1090-900 BCE		England_LBA_lc	England, North Yorkshire, Raven Scar Cave	United Kingdom	54.176006	-2.416361		1	0.005333	6289		U	United Kingdom, England, North Yorkshire, Ingleton, Raven Scar Cave Family A (2 members) (I16459 and I16469 are 2nd or 3rd degree relatives)	n/a (sex unknown)																ds.half	S16459.Y1.E1.L1	QUESTIONABLE	damage=0.013, sex.ratio=0.065	n/a (sex unknown)	H	Context: Archaeological - Period	1240K	0.0	0.0	1.0	1.0	1.0	England.and.Wales	England.North	LBA	0.0	0.711	0.062	0.005322	0.068	0.36	0.572	0.071	0.085	0.11	5.2	0.005322	Do not pool into main transects (<30000 SNPs)	Ignore_England.and.Wales_LBA	Ignore_England.North_LBA	Ignore_England.and.Wales_LBA_lowWHG	England.and.Wales_LBA	0.001645
	I16467_d	I16467	TB 228; Mandible 2			This study		2945	55	1090-900 BCE		England_LBA_lc	England, North Yorkshire, Raven Scar Cave	United Kingdom	54.176006	-2.416361		1	0.008251	9937		M	n/a (no relatives detected)	..																ds.half	S16467.Y1.E1.L1	PASS	..	..	U5a1g1	Context: Archaeological - Period	1240K	0.0	1.0	1.0	1.0	1.0	England.and.Wales	England.North	LBA	0.0	0.724	0.047	0.287291	0.061	0.449	0.49	0.055	0.063	0.079	6.2	0.287291	Do not pool into main transects (<30000 SNPs)	Ignore_England.and.Wales_LBA	Ignore_England.North_LBA	Ignore_England.and.Wales_LBA_highEEF	England.and.Wales_LBA	0.179996
	I11991	I11991	GENLAB 3, a22 SID7, Skull 15			This study		2116	79	349-50 calBCE (2133±30 BP, SUERC-94962)		England_MIA_LIA	England, Somerset, Worlebury	United Kingdom	51.357334	-2.988282		2	5.543216	930345		M	n/a (no relatives detected)	R1b1a1b1a1a2c1																ds.half,ds.half	S11991.E1.L1,S13725.Y1.E1.L1	PASS	..	R-DF13	H3b+16129	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Southwest	IA	0.0	0.682	0.012	0.105161	0.136	0.406	0.458	0.014	0.017	0.021	21.8	0.105161	Use	England.and.Wales_IA	England.Southwest_IA	England.and.Wales_IA	England.and.Wales_IA	0.087604
	I17017	I17017	Pit XXI; GENLAB 30			This study		2051	50	196 calBCE - 5 calCE (2087±30 BP, SUERC-94988)		England_LIA_highEEF	England, Somerset, Christon, Dibbles Farm	United Kingdom	51.313891	-2.885217		1	3.353946	793161		F	n/a (no relatives detected)	n/a (female)																ds.half	S17017.Y1.E1.L1	PASS	..	n/a (female)	U5b1+16189	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Southwest	IA	0.0	0.711	0.013	0.475345	0.14	0.465	0.395	0.014	0.018	0.021	18.8	0.475345	Use	England.and.Wales_IA	England.Southwest_IA	England.and.Wales_IA_highEEF	England.and.Wales_IA	2e-06
